label,n_pixels_plume,buffer_pixels_init_plume,buffer_pixels_plume,centroid_lat_plume,centroid_lon_plume,mean_score_CO_plume,std_score_CO_plume,n_frp_cells_strict_plume,n_frp_cells_contour_plume,n_frp_cells_total_plume,frp_energy_SWIR_plume,frp_energy_MWIR_plume,fire_score_SWIR_plume,fire_score_MWIR_plume,fire_type_ratio_SWIR_MWIR_plume,n_frp_clusters_SWIR_strict,n_frp_clusters_MWIR_strict,source_lat_SWIR_count_plume,source_lon_SWIR_count_plume,source_is_localized_SWIR_count_plume,source_dist_km_SWIR_count_plume,source_method_SWIR_count_plume,source_lat_SWIR_sum_plume,source_lon_SWIR_sum_plume,source_is_localized_SWIR_sum_plume,source_dist_km_SWIR_sum_plume,source_method_SWIR_sum_plume,source_lat_MWIR_count_plume,source_lon_MWIR_count_plume,source_is_localized_MWIR_count_plume,source_dist_km_MWIR_count_plume,source_method_MWIR_count_plume,source_lat_MWIR_sum_plume,source_lon_MWIR_sum_plume,source_is_localized_MWIR_sum_plume,source_dist_km_MWIR_sum_plume,source_method_MWIR_sum_plume,source_confidence_score_SWIR_plume,source_confidence_label_SWIR_plume,source_confidence_score_MWIR_plume,source_confidence_label_MWIR_plume,cluster_1_SWIR_n_cells,cluster_1_SWIR_sum_frp,cluster_1_SWIR_centroid_lat,cluster_1_SWIR_centroid_lon,cluster_2_SWIR_n_cells,cluster_2_SWIR_sum_frp,cluster_2_SWIR_centroid_lat,cluster_2_SWIR_centroid_lon,cluster_3_SWIR_n_cells,cluster_3_SWIR_sum_frp,cluster_3_SWIR_centroid_lat,cluster_3_SWIR_centroid_lon,cluster_4_SWIR_n_cells,cluster_4_SWIR_sum_frp,cluster_4_SWIR_centroid_lat,cluster_4_SWIR_centroid_lon,cluster_5_SWIR_n_cells,cluster_5_SWIR_sum_frp,cluster_5_SWIR_centroid_lat,cluster_5_SWIR_centroid_lon,cluster_6_SWIR_n_cells,cluster_6_SWIR_sum_frp,cluster_6_SWIR_centroid_lat,cluster_6_SWIR_centroid_lon,cluster_7_SWIR_n_cells,cluster_7_SWIR_sum_frp,cluster_7_SWIR_centroid_lat,cluster_7_SWIR_centroid_lon,cluster_8_SWIR_n_cells,cluster_8_SWIR_sum_frp,cluster_8_SWIR_centroid_lat,cluster_8_SWIR_centroid_lon,cluster_9_SWIR_n_cells,cluster_9_SWIR_sum_frp,cluster_9_SWIR_centroid_lat,cluster_9_SWIR_centroid_lon,cluster_10_SWIR_n_cells,cluster_10_SWIR_sum_frp,cluster_10_SWIR_centroid_lat,cluster_10_SWIR_centroid_lon,cluster_1_MWIR_n_cells,cluster_1_MWIR_sum_frp,cluster_1_MWIR_centroid_lat,cluster_1_MWIR_centroid_lon,cluster_2_MWIR_n_cells,cluster_2_MWIR_sum_frp,cluster_2_MWIR_centroid_lat,cluster_2_MWIR_centroid_lon,cluster_3_MWIR_n_cells,cluster_3_MWIR_sum_frp,cluster_3_MWIR_centroid_lat,cluster_3_MWIR_centroid_lon,cluster_4_MWIR_n_cells,cluster_4_MWIR_sum_frp,cluster_4_MWIR_centroid_lat,cluster_4_MWIR_centroid_lon,cluster_5_MWIR_n_cells,cluster_5_MWIR_sum_frp,cluster_5_MWIR_centroid_lat,cluster_5_MWIR_centroid_lon,cluster_6_MWIR_n_cells,cluster_6_MWIR_sum_frp,cluster_6_MWIR_centroid_lat,cluster_6_MWIR_centroid_lon,cluster_7_MWIR_n_cells,cluster_7_MWIR_sum_frp,cluster_7_MWIR_centroid_lat,cluster_7_MWIR_centroid_lon,cluster_8_MWIR_n_cells,cluster_8_MWIR_sum_frp,cluster_8_MWIR_centroid_lat,cluster_8_MWIR_centroid_lon,cluster_9_MWIR_n_cells,cluster_9_MWIR_sum_frp,cluster_9_MWIR_centroid_lat,cluster_9_MWIR_centroid_lon,cluster_10_MWIR_n_cells,cluster_10_MWIR_sum_frp,cluster_10_MWIR_centroid_lat,cluster_10_MWIR_centroid_lon
1,1078,6,10,-4.9550,22.0923,0.3878,0.0454,4,24,28,,1536.0533,,2.8458,,0,0,,,0,,none,,,0,,none,,,0,,none,,,0,,none,0,none,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1776,8,8,39.6710,-117.9232,0.4706,0.1442,12,8,20,,565.7371,,2.9838,,3,3,,,0,,none,,,0,,none,40.2110,-120.8344,1,255.3360,dominant,40.2110,-120.8344,1,255.3360,dominant,0,none,2,high,4.0000,0.0000,40.2110,-120.8344,3.0000,0.0000,40.4220,-121.2103,1.0000,0.0000,41.5596,-121.7971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0000,77.9325,40.1861,-120.8677,1.0000,51.1771,41.5596,-121.7971,3.0000,34.5050,40.4356,-121.1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,275,5,5,49.6171,119.2629,0.3778,0.0338,0,0,0,,,,,,0,0,,,0,,none,,,0,,none,,,0,,none,,,0,,none,0,none,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,97,5,5,52.3827,77.6001,0.3770,0.0311,0,0,0,,,,,,0,0,,,0,,none,,,0,,none,,,0,,none,,,0,,none,0,none,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5590,14,14,58.5092,106.4031,0.5160,0.1772,44,30,74,,3015.0281,,4.1339,,10,10,,,0,,none,,,0,,none,63.2844,112.2983,1,618.7837,dominant,63.5046,112.0782,1,633.5583,dominant,0,none,1,low,1.0000,0.0000,63.2477,111.2347,3.0000,0.0000,63.2844,112.2983,2.0000,0.0000,63.3028,114.9205,3.0000,0.0000,63.3211,115.5623,1.0000,0.0000,63.3578,115.3056,3.0000,0.0000,63.5046,112.0782,1.0000,0.0000,63.4679,112.6650,2.0000,0.0000,63.6881,114.8105,1.0000,0.0000,63.6881,115.4156,3.0000,0.0000,63.9817,110.6479,3.0000,169.2670,63.5034,112.0730,3.0000,132.5781,63.9837,110.6279,2.0000,92.8100,63.2996,114.9174,3.0000,85.9968,63.3052,115.5652,3.0000,85.4629,63.2783,112.2978,1.0000,26.3766,63.3578,115.3056,1.0000,25.5627,63.2477,111.2347,1.0000,23.4969,63.6881,115.4156,2.0000,22.4689,63.6881,114.7904,1.0000,14.0336,63.4679,112.6650
6,7463,17,17,65.6293,83.8067,0.6373,0.1575,0,0,0,,,,,,0,0,,,0,,none,,,0,,none,,,0,,none,,,0,,none,0,none,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2497,9,13,63.6947,121.6896,0.7277,0.1812,151,131,282,,6679.3574,,6.4088,,23,23,,,0,,none,,,0,,none,65.3080,118.1348,1,247.1856,dominant,65.3080,118.1348,1,247.1856,dominant,0,none,2,high,1.0000,0.0000,61.9266,127.4083,1.0000,0.0000,61.9266,127.7384,2.0000,0.0000,62.5321,122.0171,2.0000,0.0000,62.6422,126.0880,3.0000,0.0000,62.7339,127.2616,1.0000,0.0000,62.9174,127.5183,1.0000,0.0000,63.1376,126.5281,1.0000,0.0000,63.1376,126.8582,1.0000,0.0000,63.2477,127.5183,1.0000,0.0000,63.7982,120.6968,7.0000,283.9203,65.3199,118.1680,4.0000,165.2225,66.5929,121.0669,1.0000,138.5310,65.4495,120.3667,3.0000,100.8979,64.8164,118.8311,2.0000,61.5687,64.7890,119.9581,2.0000,60.6534,65.8649,118.9364,1.0000,53.0852,63.7982,120.6968,3.0000,52.7561,62.7069,127.2111,1.0000,44.2260,65.3394,120.1467,1.0000,35.2069,63.2477,127.5183
8,2292,9,9,69.8474,69.2017,0.4442,0.0779,0,0,0,,,,,,0,0,,,0,,none,,,0,,none,,,0,,none,,,0,,none,0,none,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,198,5,5,71.5441,128.3330,0.5168,0.0673,0,0,0,,,,,,0,0,,,0,,none,,,0,,none,,,0,,none,,,0,,none,0,none,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,13,5,10,-9.7177,21.1501,0.3694,0.0000,0,13,13,,337.3939,,2.1515,,0,0,,,0,,none,,,0,,none,,,0,,none,,,0,,none,0,none,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
